JAKA π,,基础版,探索版,旗舰版
基本参数,,,,
站立尺寸（mm）,,1220×420×220,1220×420×220,1220×420×220
身高（mm）,,1220,1220,1220
重量（kg）,,40,42,43
单臂负载（kg）,,3,3,3
总自由度,,25,27,27
颈部自由度,,/,2,2
单手臂自由度,,6,6,6
腰部自由度,,1,1,1
单腿自由度,,6,6,6
单臂展（含夹爪）（mm）,,450,450,450
平均功率（W）,,200,200,200
最大功率（W）,,3000,3000,3000
控制方式,,手柄，App，SDK,手柄，App，SDK,手柄，App，SDK
材质,,铝合金/ABS,铝合金/ABS,铝合金/ABS
运动性能,,,,
关节峰值扭矩（Nm）,,120,120,120
行走最大速度（m/s）,,1.8,1.8,1.8
颈部运动范围（°）,J1,/,±35,±35
,J2,/,±90,±90
单臂运动范围（°）,J1,±90,±90,±90
,J2,±110,±110,±110
,J3,±90,±90,±90
,J4,-50~130,-50~130,-50~130
,J5,±90,±90,±90
,J6,0-80,0-80,0-80
腰部运动范围（°）,,-115~205,-115~205,-115~205
单腿运动范围（°）,J1,-70~110,-70~110,-70~110
,J2,-30~135,-30~135,-30~135
,J3,-115~205,-115~205,-115~205
,J4,-20~130,-20~130,-20~130
,J5,-30~35,-30~35,-30~35
,J6,±20,±20,±20
通讯,,,,
外部通讯,,Wi-Fi,Wi-Fi,Wi-Fi，4G/5G模块
内部通讯,,EtherCAT,EtherCAT,EtherCAT
硬件接口,,"USB接口*1；HDMI接口*1；RJ45接口*1","USB接口*1；HDMI接口*1；RJ45接口*1","USB接口*1；HDMI接口*1；RJ45接口*1"
主控,,,,
CPU,,Intel® Core™ i5-Gen12 Processor,Intel Core Ultra7 Processors 255H,Intel Core Ultra7 Processors 255H
内存,,16G,64G,64G
算力,,/,96tops,96tops
电池性能,,,,
电池类型,,锂电池,锂电池,锂电池
额定电压 (V DC),,46.8,46.8,46.8
最大电压（V）,,54.6,54.6,54.6
最小电压（V）,,32.5,32.5,32.5
最大电流（A）,,,,
充电循环次数,,≥ 1000次,≥ 1000次,≥ 1000次
电池容量（Ah）,,10,10,10
续航时间 (h),,2,2,2
充电时长（h）,慢充,2.5,2.5,2.5
,快充,1.2,1.2,1.2
电池重量（kg）,,4,4,4
电池尺寸（mm）,,180*140*95,180*140*95,180*140*95
环境,,,,
温度范围（°C）,,0-50,0-50,0-50
湿度范围,,10-90%RH,10-90%RH,10-90%RH
使用海拔（m）,,≤1000,≤1000,≤1000
